iter	TotalF1	MultiClass
110	0.8183284097	0.5030920247
111	0.8179050397	0.5021657594
112	0.8182185591	0.5015507351
113	0.8187712913	0.5006944452
114	0.8192428117	0.499966172
115	0.8192224378	0.4987068158
116	0.8191269702	0.497901863
117	0.8197326878	0.4967543767
118	0.8198966106	0.4959185057
119	0.8204089105	0.495174217
120	0.8201789723	0.4943313795
121	0.8220291139	0.4929127247
122	0.8221340129	0.4919761152
123	0.8226057045	0.4911733527
124	0.8227405231	0.4899120261
125	0.8232075179	0.4891583023
126	0.8231920488	0.4883312477
127	0.8239234054	0.4871589729
128	0.8244241162	0.4865039389
129	0.8248630496	0.4857930802
130	0.8251793751	0.4851753841
131	0.8253842029	0.4844513928
132	0.8262004635	0.4836369686
133	0.8267840961	0.4832347359
134	0.8268686298	0.4826163362
135	0.8264843445	0.4819375723
136	0.8266623271	0.4812825346
137	0.8276983906	0.4802721901
138	0.827433929	0.4793665456
139	0.8279054235	0.4783219857
140	0.8281877446	0.4774668099
141	0.8287462241	0.4763606478
142	0.8286886686	0.4753746836
143	0.8289841094	0.4749865765
144	0.8294919193	0.4743319039
145	0.8302049874	0.4738699487
146	0.8307332383	0.4731451261
147	0.8308732474	0.4727784584
148	0.8314847715	0.4723993935
149	0.8315810191	0.4717157797
150	0.8321233554	0.470716746
151	0.8325164827	0.4699263036
152	0.8323310068	0.4693355194
153	0.8328214898	0.4688160427
154	0.8330416512	0.4682790406
155	0.8323210267	0.4676858307
156	0.8326507031	0.4673181306
157	0.83242826	0.4669875843
158	0.8332438344	0.4665104426
159	0.8328342147	0.4659587611
160	0.8332593426	0.4655968518
161	0.8333174776	0.4649784571
162	0.8332658344	0.4645469585
163	0.833671086	0.4640246563
164	0.8340286136	0.4637046076
165	0.8333348614	0.4632163213
166	0.833744282	0.4627204856
167	0.8344908813	0.4621939267
168	0.8347008382	0.4617441589
169	0.8351263103	0.4611864983
170	0.8356129188	0.4607718977
171	0.8362022563	0.4602395638
172	0.8356261071	0.4592970998
173	0.8358495373	0.4586206721
174	0.8364792812	0.4580972894
175	0.8371715433	0.4575741242
176	0.8377396186	0.4567768319
177	0.8381071554	0.4565004963
178	0.8385820137	0.4555766989
179	0.8391395152	0.4551982867
180	0.8393171194	0.4544878968
181	0.8389197643	0.4540719529
182	0.8389320568	0.4534738431
183	0.8391042562	0.452979895
184	0.8393237277	0.4523824369
185	0.8393847912	0.4519180871
186	0.8397327864	0.4514273499
187	0.839377987	0.4508146706
188	0.8398520874	0.4504123344
189	0.8410314697	0.4498391046
190	0.8406238164	0.4491134913
191	0.8405768564	0.4484391946
192	0.840904137	0.4481398312
193	0.8415326158	0.4475936403
194	0.8417833129	0.4471369982
195	0.8414798782	0.4466655243
196	0.8413746253	0.4461338726
197	0.8416374123	0.4457523269
198	0.8415966743	0.4454366959
199	0.8420927094	0.4446069298
200	0.8422289895	0.4439046519
201	0.8420138219	0.4434288534
202	0.8420629364	0.4430719982
203	0.8421297906	0.4423974779
204	0.8423261999	0.4420364382
205	0.8421799074	0.4414423827
206	0.8422760583	0.44095445
207	0.8427207468	0.4401322316
208	0.8426457553	0.4395715804
209	0.8424595672	0.438950988
210	0.8426515202	0.4384351644
211	0.843290614	0.438027195
212	0.8432156916	0.4374204461
213	0.8434406872	0.4368359609
214	0.8436639651	0.4358913517
215	0.8434714444	0.4355894174
216	0.8438220255	0.4351685829
217	0.8435855839	0.4345960023
218	0.843593637	0.4339636137
219	0.8437246415	0.4335621722
220	0.8440531703	0.4330737331
221	0.8442585223	0.4326540029
222	0.8442580552	0.4320678524
223	0.8453973063	0.4314774696
224	0.8454196308	0.4310699089
225	0.8458704245	0.4306755758
226	0.8459535752	0.4297841567
227	0.846038101	0.429416134
228	0.8459444171	0.4289175105
229	0.8464589029	0.4284353438
230	0.8470823227	0.4276938186
231	0.8467375856	0.4273057268
232	0.8474192566	0.4268533705
233	0.8476272437	0.4264288568
234	0.8473690486	0.4260740016
235	0.8476128738	0.4254348064
236	0.8478733048	0.424772562
237	0.8477894494	0.4243357151
238	0.8479172392	0.4235134004
239	0.8476923033	0.4230734166
240	0.8479576805	0.4226266928
241	0.8482230505	0.422249909
242	0.8483168013	0.4219252293
243	0.84831891	0.4214470191
244	0.8480884145	0.4210040495
245	0.8481003953	0.4206554015
246	0.848416901	0.4203837548
247	0.8482942294	0.4201198573
248	0.8490141465	0.4196136196
249	0.8490040666	0.4189915788
250	0.8492612866	0.4184097132
251	0.8494309284	0.4179762977
252	0.8497166238	0.4173642637
253	0.8495312617	0.4170977243
254	0.8500724875	0.4166492304
255	0.8502193349	0.4160898082
256	0.8499564175	0.415748714
257	0.849811175	0.4154579054
258	0.8497402384	0.4151636434
259	0.8503314566	0.4148200601
260	0.8503213707	0.4144531771
261	0.8505057742	0.4140470115
262	0.8508586413	0.4135484488
263	0.8511855826	0.4129805469
264	0.8516402639	0.4125378137
265	0.8520374723	0.4120015889
266	0.8518115858	0.411574514
267	0.852270674	0.4112293332
268	0.8524657015	0.410613873
269	0.8524507185	0.410235748
