iter	Passed	Remaining
402	16570	3988
403	16600	3944
404	16637	3902
405	16669	3859
406	16702	3816
407	16740	3774
408	16768	3730
409	16808	3689
410	16841	3647
411	16868	3603
412	16902	3560
413	16932	3517
414	16960	3473
415	16989	3430
416	17016	3387
417	17047	3344
418	17077	3301
419	17116	3260
420	17146	3217
421	17171	3173
422	17204	3131
423	17240	3090
424	17268	3047
425	17296	3004
426	17327	2962
427	17357	2919
428	17392	2878
429	17423	2836
430	17467	2796
431	17501	2754
432	17533	2712
433	17567	2671
434	17597	2629
435	17627	2587
436	17661	2546
437	17697	2505
438	17730	2463
439	17759	2421
440	17796	2380
441	17826	2339
442	17858	2297
443	17895	2257
444	17928	2215
445	17964	2175
446	18003	2134
447	18037	2093
448	18080	2053
449	18128	2014
450	18191	1976
451	18226	1935
452	18258	1894
453	18294	1853
454	18328	1812
455	18366	1772
456	18411	1732
457	18459	1692
458	18497	1652
459	18542	1612
460	18585	1572
461	18626	1532
462	18667	1491
463	18703	1451
464	18742	1410
465	18777	1370
466	18811	1329
467	18858	1289
468	18888	1248
469	18925	1208
470	18957	1167
471	18992	1126
472	19030	1086
473	19064	1045
474	19095	1005
475	19136	964
476	19171	924
477	19206	883
478	19244	843
479	19282	803
480	19318	763
481	19350	722
482	19385	682
483	19419	641
484	19458	601
485	19496	561
486	19535	521
487	19574	481
488	19610	441
489	19647	400
490	19684	360
491	19719	320
492	19754	280
493	19792	240
494	19824	200
495	19859	160
496	19906	120
497	19953	80
498	19990	40
499	20027	0
